BLOCO;REGIÃO;PAÍS;VALOR DA RESERVA;ANO
Não OPEP;América do Norte;Canadá;174,2;2011
Não OPEP;América do Norte;Canadá;173,7161004;2012
Não OPEP;América do Norte;Canadá;173,0375367;2013
Não OPEP;América do Norte;Canadá;172,1559946;2014
Não OPEP;América do Norte;Canadá;171,5123079;2015
Não OPEP;América do Norte;Canadá;170,5283236;2016
Não OPEP;América do Norte;Canadá;171,7916825;2017
Não OPEP;América do Norte;Canadá;170,732189;2018
Não OPEP;América do Norte;Canadá;169,1249096;2019
Não OPEP;América do Norte;Canadá;168;2020
Não OPEP;América do Norte;Estados Unidos;39,8;2011
Não OPEP;América do Norte;Estados Unidos;44,18;2012
Não OPEP;América do Norte;Estados Unidos;48,463;2013
Não OPEP;América do Norte;Estados Unidos;54,962;2014
Não OPEP;América do Norte;Estados Unidos;47,987;2015
Não OPEP;América do Norte;Estados Unidos;49,966;2016
Não OPEP;América do Norte;Estados Unidos;61,233;2017
Não OPEP;América do Norte;Estados Unidos;68,894;2018
Não OPEP;América do Norte;Estados Unidos;68,757;2019
Não OPEP;América do Norte;Estados Unidos;69;2020
Não OPEP;América do Norte;México;10,2;2011
Não OPEP;América do Norte;México;10,025;2012
Não OPEP;América do Norte;México;10,07319;2013
Não OPEP;América do Norte;México;9,81209;2014
Não OPEP;América do Norte;México;9,71097;2015
Não OPEP;América do Norte;México;7,64071;2016
Não OPEP;América do Norte;México;7,03701;2017
Não OPEP;América do Norte;México;6,46417;2018
Não OPEP;América do Norte;México;6,06588;2019
Não OPEP;América do Norte;México;6;2020
Não OPEP;Américas Central e do Sul;Argentina;2,5;2011
Não OPEP;Américas Central e do Sul;Argentina;2,35420948;2012
Não OPEP;Américas Central e do Sul;Argentina;2,329584141;2013
Não OPEP;Américas Central e do Sul;Argentina;2,379708948;2014
Não OPEP;Américas Central e do Sul;Argentina;2,394723984;2015
Não OPEP;Américas Central e do Sul;Argentina;2,162209054;2016
Não OPEP;Américas Central e do Sul;Argentina;2,016765043;2017
Não OPEP;Américas Central e do Sul;Argentina;2,386858073;2018
Não OPEP;Américas Central e do Sul;Argentina;2,482707493;2019
Não OPEP;Américas Central e do Sul;Argentina;2;2020
Não OPEP;Américas Central e do Sul;Brasil;15;2011
Não OPEP;Américas Central e do Sul;Brasil;15,314221;2012
Não OPEP;Américas Central e do Sul;Brasil;15,54443522;2013
Não OPEP;Américas Central e do Sul;Brasil;16,18411229;2014
Não OPEP;Américas Central e do Sul;Brasil;12,99978129;2015
Não OPEP;Américas Central e do Sul;Brasil;12,63371956;2016
Não OPEP;Américas Central e do Sul;Brasil;12,7939248;2017
Não OPEP;Américas Central e do Sul;Brasil;13,43530657;2018
Não OPEP;Américas Central e do Sul;Brasil;12,7146;2019
Não OPEP;Américas Central e do Sul;Brasil;12;2020
Não OPEP;Américas Central e do Sul;Colômbia;2;2011
Não OPEP;Américas Central e do Sul;Colômbia;2,2;2012
Não OPEP;Américas Central e do Sul;Colômbia;2,377;2013
Não OPEP;Américas Central e do Sul;Colômbia;2,445;2014
Não OPEP;Américas Central e do Sul;Colômbia;2,308;2015
Não OPEP;Américas Central e do Sul;Colômbia;2,002;2016
Não OPEP;Américas Central e do Sul;Colômbia;1,66549;2017
Não OPEP;Américas Central e do Sul;Colômbia;1,782208;2018
Não OPEP;Américas Central e do Sul;Colômbia;1,96;2019
Não OPEP;Américas Central e do Sul;Colômbia;2;2020
