"date","absolute_index","monthly","semiannual_accumulation","annual_accumulation"
"1/1/1981","0.0000000162174","6.84","45.51","99.67"
"2/1/1981","0.0000000172555","6.4","47.53","103.07"
"3/1/1981","0.0000000181134","4.97","48.58","101.03"
"4/1/1981","0.0000000192839","6.46","44.48","103.27"
"5/1/1981","0.0000000203560","5.56","42.97","103"
"6/1/1981","0.0000000214792","5.52","41.5","103.41"
"7/1/1981","0.0000000228229","6.26","40.73","104.78"
"8/1/1981","0.0000000240772","5.5","39.53","105.85"
"9/1/1981","0.0000000253429","5.26","39.91","107.88"
"10/1/1981","0.0000000266297","5.08","38.09","99.52"
"11/1/1981","0.0000000280335","5.27","37.72","96.89"
"12/1/1981","0.0000000296946","5.93","38.25","95.62"
"1/1/1982","0.0000000317628","6.97","39.17","95.86"
"2/1/1982","0.0000000338708","6.64","40.68","96.29"
"3/1/1982","0.0000000358057","5.71","41.28","97.68"
"4/1/1982","0.0000000379137","5.89","42.37","96.61"
"5/1/1982","0.0000000404382","6.66","44.25","98.65"
"6/1/1982","0.0000000433113","7.1","45.86","101.64"
"7/1/1982","0.0000000460650","6.36","45.03","101.84"
"8/1/1982","0.0000000488164","5.97","44.13","102.75"
"9/1/1982","0.0000000512964","5.08","43.26","102.41"
"10/1/1982","0.0000000535752","4.44","41.31","101.19"
"11/1/1982","0.0000000564085","5.29","39.49","101.22"
"12/1/1982","0.0000000608117","7.81","40.41","104.79"
"1/1/1983","0.0000000660665","8.64","43.42","108"
"2/1/1983","0.0000000712581","7.86","45.97","110.38"
"3/1/1983","0.0000000764919","7.34","49.12","113.63"
"4/1/1983","0.0000000815245","6.58","52.17","115.03"
"5/1/1983","0.0000000868097","6.48","53.89","114.67"
"6/1/1983","0.0000000953868","9.88","56.86","120.24"
"7/1/1983","0.0000001050003","10.08","58.93","127.94"
"8/1/1983","0.0000001145671","9.11","60.78","134.69"
"9/1/1983","0.0000001263682","10.3","65.2","146.35"
"10/1/1983","0.0000001375727","8.87","68.75","156.78"
"11/1/1983","0.0000001477314","7.38","70.18","161.9"
"12/1/1983","0.0000001605502","8.68","68.31","164.01"
"1/1/1984","0.0000001760737","9.67","67.69","166.51"
"2/1/1984","0.0000001928020","9.5","68.29","170.57"
"3/1/1984","0.0000002100357","8.94","66.21","174.59"
"4/1/1984","0.0000002300794","9.54","67.24","182.22"
"5/1/1984","0.0000002509021","9.05","69.84","189.03"
"6/1/1984","0.0000002761935","10.08","72.03","189.55"
"7/1/1984","0.0000003030524","9.72","72.12","188.62"
"8/1/1984","0.0000003313854","9.35","71.88","189.25"
"9/1/1984","0.0000003703168","11.75","76.31","193.05"
"10/1/1984","0.0000004089675","10.44","77.75","197.27"
"11/1/1984","0.0000004520168","10.53","80.16","205.97"
"12/1/1984","0.0000005061559","11.98","83.26","215.26"
"1/1/1985","0.0000005656761","11.76","86.66","221.27"
"2/1/1985","0.0000006271382","10.87","89.25","225.28"
"3/1/1985","0.0000006908698","10.16","86.56","228.93"
"4/1/1985","0.0000007474889","8.2","82.77","224.88"
"5/1/1985","0.0000008012770","7.2","77.27","219.36"
"6/1/1985","0.0000008693369","8.49","71.75","214.76"
"7/1/1985","0.0000009589916","10.31","69.53","216.44"
"8/1/1985","0.0000010745459","12.05","71.34","224.26"
"9/1/1985","0.0000011940075","11.12","72.83","222.43"
"10/1/1985","0.0000013207687","10.62","76.69","222.95"
"11/1/1985","0.0000015053189","13.97","87.86","233.02"
"12/1/1985","0.0000017322163","15.07","99.26","242.23"
"1/1/1986","0.0000019811765","14.37","106.59","250.23"
"2/1/1986","0.0000022331080","12.72","107.82","256.08"
"3/1/1986","0.0000023396314","4.77","95.95","238.65"
"4/1/1986","0.0000023578806","0.78","78.52","215.44"
"5/1/1986","0.0000023908694","1.4","58.83","198.38"
"6/1/1986","0.0000024212846","1.27","39.78","178.52"
"7/1/1986","0.0000024626960","1.71","24.3","156.8"
"8/1/1986","0.0000025501983","3.55","14.2","137.33"
"9/1/1986","0.0000025939494","1.72","10.87","117.25"
"10/1/1986","0.0000026433156","1.9","12.11","100.13"
"11/1/1986","0.0000027874369","5.45","16.59","85.17"
"12/1/1986","0.0000031121777","11.65","28.53","79.66"
