cotacaoCompra,cotacaoVenda,dataHoraCotacao
"4,038","4,0387",2016-01-04 13:12:41.021
"4,0108","4,0114",2016-01-05 13:12:41.306
"4,0297","4,0303",2016-01-06 13:08:04.506
"4,0469","4,0475",2016-01-07 13:07:20.817
"4,0244","4,025",2016-01-08 13:11:21.614
"4,0147","4,0153",2016-01-11 13:08:12.021
"4,0293","4,0299",2016-01-12 13:10:57.893
"3,9857","3,9863",2016-01-13 13:07:21.557
"4,0217","4,0223",2016-01-14 13:03:00.94
"4,0396","4,0402",2016-01-15 13:08:54.259
"4,0358","4,0364",2016-01-18 13:09:25.047
"4,0297","4,0303",2016-01-19 13:08:59.557
"4,0855","4,0861",2016-01-20 13:06:47.722
"4,1552","4,1558",2016-01-21 13:07:17.33
"4,1226","4,1232",2016-01-22 13:11:51.506
"4,0991","4,1002",2016-01-25 13:05:43.322
"4,0961","4,0967",2016-01-26 13:11:08.831
"4,0441","4,0448",2016-01-27 13:07:42.731
"4,0832","4,0838",2016-01-28 13:12:28.371
"4,0422","4,0428",2016-01-29 13:08:00.674
"3,9979","3,9986",2016-02-01 13:03:39.417
"3,9913","3,9919",2016-02-02 13:02:59.245
"3,9552","3,9558",2016-02-03 13:09:54.357
"3,8646","3,8653",2016-02-04 13:06:21.252
"3,8969","3,8975",2016-02-05 13:10:29.963
"3,9406","3,9412",2016-02-10 15:36:18.369
"3,9636","3,9642",2016-02-11 13:07:15.167
"3,9884","3,9891",2016-02-12 13:11:55.434
"3,9879","3,9885",2016-02-15 13:09:18.754
"4,0207","4,0213",2016-02-16 13:04:47.221
"4,0312","4,0318",2016-02-17 13:03:45.488
"4,0084","4,0091",2016-02-18 13:04:48.92
"4,0486","4,0492",2016-02-19 13:03:21.661
"3,9612","3,9618",2016-02-22 13:09:39.999
"3,9678","3,9684",2016-02-23 13:10:57.68
"3,9894","3,99",2016-02-24 13:04:50.209
"3,9394","3,94",2016-02-25 13:02:51.663
"3,9571","3,9578",2016-02-26 13:05:14.161
"3,979","3,9796",2016-02-29 13:03:49.471
"3,9907","3,9913",2016-03-01 13:10:04.662
"3,911","3,9116",2016-03-02 13:12:16.932
"3,8498","3,8504",2016-03-03 13:04:27.128
"3,7182","3,7188",2016-03-04 13:06:46.766
"3,7708","3,7714",2016-03-07 13:02:47.751
